Substrate,Product,Boronic Ester,Active Catalyst-Ligand,Catalyst,Ligand,Buried_Vol,PyramidalizationAR,PyramidalizationG,SASA_area,SASA_vol,Sterimol_L,SterimolB_1,Sterimol_B_5,Buried_Sterimol_L,Buried_SterimolB_1,Buried_Sterimol_B_5,Hirshfeld Heavy Atom Charge,CM5 Charge,Hirshfeld Carbon Charge,Hirshfeld Hydrogen Charge,ESP Heavy Atom Charge,ESP Carbon Charge,ESP Hydrogen Charge,NPA Carbon Charge,NPA Hydrogen Charge,MBS Heavy Atom Charge,MBS Carbon Charge,MBS Hydrogen Charge,Mulliken Heavy Charge,Mulliken Carbon Charge,Mulliken Hydrogen Charge,Solvent,Temp,Aliphatic Atom Count,Aliphatic Bond Count,Aliphatic Ring Count,Aromatic Atom Count,Aromatic Bond Count,Aromatic Ring Count,Steric Effect Index,Atomic_Polarizability,Balaban Index,Chain Atom Count,Distance Degree,Dreiding Energy,Eccentricity,Harary Index,Hydrogen Acceptor Count,Hydrogen Acceptor Site Count,Heteroatom Aromatic Ring Count,Hydrogen Donor Count,Hydrogen Donor Site Count,Hyper Wiener Index,Largest Ring Size,Max Projection Area,Max Projection Radius,MaxZ,Moleculare Polarizability,Platt Index,Refractivity,Ring Atom Count,Rot Bond Count,Sigma Electronegativity,Wiener Index,Product_Ratio
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3","InChI=1S/C13H27BO2/c1-10(9-11(2,3)4)14-15-12(5,6)13(7,8)16-14/h10H,9H2,1-8H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,0.002187,0.000322,-0.05921,0.030699,0.122967,0.202523,-0.039787,-0.38882,0.19051,0.007601,-0.143962,0.075782,0.101779,-0.159652,0.130705,3,150,7,6,0,0,0,0,2.5,1.116290667,3.154490065,7,10,16.77,2,12.08333333,0,0,0,0,0,84,0,41.05474796,4.681766711,6.229599447,13.67604993,16,33.8309,0,2,7.538105326,46,0
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3","InChI=1S/C13H27BO2/c1-9-10(11(2,3)4)14-15-12(5,6)13(7,8)16-14/h10H,9H2,1-8H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,-0.001251,0.004864,-0.058937,0.028843,-0.153773,-0.177457,0.011891,-0.37532,0.19326,-0.008371,-0.146259,0.068945,-0.053065,-0.318375,0.132663,3,150,7,6,0,0,0,0,4.162037037,1.116290667,3.154490065,7,9,16.77,3,12.08333333,0,0,0,0,0,84,0,41.05474796,4.681766711,6.229599447,13.67604993,16,33.8309,0,2,7.631980396,46,0
"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3","InChI=1S/C13H27BO2/c1-8-9-11(2,3)10-14-15-12(4,5)13(6,7)16-14/h8-10H2,1-7H3",2,6,1,1,43.1,0.683534883,10.22384447,735.6023812,1441.376195,5.941608224,4.790829903,7.558608097,5.941608224,4.790829903,7.278100225,-0.005931,0.00413,-0.102169,0.032298,-0.157301,-0.299152,0.04304,-0.57433,0.19942,-0.018489,-0.257971,0.08121,-0.097569,-0.498996,0.130161,3,150,7,6,0,0,0,0,1.427662037,1.116290667,3.154490065,7,14,16.77,4,12.08333333,0,0,0,0,0,84,0,41.05474796,4.681766711,6.229599447,13.67604993,16,33.8309,0,2,7.43452018,46,0
"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H","InChI=1S/C14H15BF6O2/c1-11(2)12(3,4)23-15(22-11)10-6-8(13(16,17)18)5-9(7-10)14(19,20)21/h5-7H,1-4H3",1,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.033523,0.03386,-0.027326,0.060849,0.034707,-0.065595,0.100301,-0.18871,0.21916,0.033502,-0.091636,0.125139,-0.06457,-0.208701,0.144132,4,150,8,8,0,6,6,1,2.511617159,1.359456,2.612996319,8,39,23.07,5,38.98333333,0,0,0,0,0,713,6,51.20763138,4.874796213,6.540305554,13.18920586,44,38.0054,6,2,8.559896592,289,1
"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H","InChI=1S/C14H15BF6O2/c1-11(2)12(3,4)23-15(22-11)10-6-5-8(13(16,17)18)7-9(10)14(19,20)21/h5-7H,1-4H3",1,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.035197,0.037094,-0.024695,0.060849,0.041532,-0.073667,0.115199,-0.15871,0.22973,0.054983,-0.080539,0.135522,0.117378,-0.037186,0.154564,4,150,8,8,0,6,6,1,2.675121119,1.359456,2.612996319,8,31,23.07,3,38.98333333,0,0,0,0,0,713,6,51.20763138,4.874796213,6.540305554,13.18920586,44,38.0054,6,2,8.855694851,289,0
"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H","InChI=1S/C14H15BF6O2/c1-11(2)12(3,4)23-15(22-11)10-8(13(16,17)18)6-5-7-9(10)14(19,20)21/h5-7H,1-4H3",1,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.029304,0.033077,-0.029604,0.058908,0.057447,-0.054771,0.112218,-0.15221,0.24333,0.065531,-0.081723,0.147254,0.692029,0.529545,0.162484,4,150,8,8,0,6,6,1,3.586218074,1.359456,2.612996319,8,31,23.07,4,38.98333333,0,0,0,0,0,713,6,51.20763138,4.874796213,6.540305554,13.18920586,44,38.0054,6,2,8.783377955,289,0
"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3","InChI=1S/C13H20BNO2/c1-9-7-11(8-10(2)15-9)14-16-12(3,4)13(5,6)17-14/h7-8H,1-6H3",1,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.021399,0.023974,-0.031649,0.053048,0.258334,0.201632,0.056702,-0.15503,0.20696,0.030585,-0.080999,0.111584,-0.354564,-0.483617,0.129053,4,150,2,2,0,6,6,1,2.408709741,1.359456,2.230637658,2,15,17.15,4,16.08333333,1,1,1,0,0,110,6,43.37106608,4.439618225,4.508061067,12.97611414,20,33.0841,6,0,8.353020763,61,1
"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3","InChI=1S/C13H20BNO2/c1-9-7-8-11(10(2)15-9)14-16-12(3,4)13(5,6)17-14/h7-8H,1-6H3",1,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,-0.014382,-0.005621,-0.060895,0.046512,-0.329056,-0.478561,0.149505,-0.25755,0.20937,-0.02605,-0.132053,0.106002,0.265789,0.14399,0.121799,4,150,2,2,0,6,6,1,3.172455704,1.359456,2.230637658,2,13,17.15,3,16.08333333,1,1,1,0,0,110,6,43.37106608,4.439618225,4.508061067,12.97611414,20,33.0841,6,0,8.733071192,61,0
"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3","InChI=1S/C13H20BNO2/c1-10-7-6-8-11(15-10)9-14-16-12(2,3)13(4,5)17-14/h6-8H,9H2,1-5H3",1,7,3,1,41,1.059975887,9.242505361,814.3726979,1707.085805,6.090975728,5.055852313,9.141999739,6.090975728,5.055852313,7.624077211,0.031268,0.053599,-0.0974,0.045221,-0.1133,-0.467582,0.122682,-0.60022,0.22037,0.049107,-0.258648,0.110087,0.073759,-0.37225,0.157337,4,150,2,2,0,6,6,1,1.336371778,1.116290667,2.230637658,2,19,17.15,4,16.08333333,1,1,1,0,0,110,6,43.24651366,4.41742542,4.901006497,12.97611414,20,33.0841,6,0,8.265479345,61,0
"InChI=1S/C9H13FSi/c1-11(2)7-8-5-3-4-6-9(8)10/h3-6,11H,7H2,1-2H3","InChI=1S/C15H24BFO2Si/c1-14(2)15(3,4)19-16(18-14)12-8-7-9-13(17)11(12)10-20(5)6/h7-9,20H,10H2,1-6H3",2,2,5,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.002218,0.004654,-0.100893,0.032591,-0.032324,-0.150127,0.117803,-0.19075,0.20719,-0.003333,-0.110051,0.106717,-0.459071,-0.58328,0.124209,1,80,5,5,0,6,6,1,2.475557333,1.359456,2.084874274,5,28,33.73,5,25.98333333,0,0,0,0,0,362,6,54.335447,5.415636777,6.709336364,18.43100794,28,42.3255,6,2,8.71785876,158,1
