,Substrate,,Product,Boronic Ester,Active Catalyst-Ligand,Catalyst,Ligand,Buried_Vol,PyramidalizationAR,PyramidalizationG,SASA_area,SASA_vol,Sterimol_L,SterimolB_1,Sterimol_B_5,Buried_Sterimol_L,Buried_SterimolB_1,Buried_Sterimol_B_5,Hirshfeld Heavy Atom Charge,CM5 Charge,Hirshfeld Carbon Charge,Hirshfeld Hydrogen Charge,ESP Heavy Atom Charge,ESP Carbon Charge,ESP Hydrogen Charge,NPA Carbon Charge,NPA Hydrogen Charge,MBS Heavy Atom Charge,MBS Carbon Charge,MBS Hydrogen Charge,Mulliken Heavy Charge,Mulliken Carbon Charge,Mulliken Hydrogen Charge,Solvent,Temp,Aliphatic Atom Count,Aliphatic Bond Count,Aliphatic Ring Count,Aromatic Atom Count,Aromatic Bond Count,Aromatic Ring Count,Steric Effect Index,Atomic_Polarizability,Balaban Index,Chain Atom Count,Distance Degree,Dreiding Energy,Eccentricity,Harary Index,Hydrogen Acceptor Count,Hydrogen Acceptor Site Count,Heteroatom Aromatic Ring Count,Hydrogen Donor Count,Hydrogen Donor Site Count,Hyper Wiener Index,Largest Ring Size,Max Projection Area,Max Projection Radius,MaxZ,Moleculare Polarizability,Platt Index,Refractivity,Ring Atom Count,Rot Bond Count,Sigma Electronegativity,Wiener Index,Product_Ratio
10,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)14-9-7-8-13-12-15(21-16(13)14)17(23)22-10-5-6-11-22/h7-9,15,21H,5-6,10-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.013831,-0.005099,-0.06164,0.047808,-0.1125,-0.251909,0.139409,-0.23392,0.21066,-0.020964,-0.128378,0.107414,-0.661795,-0.773033,0.111239,10,100,7,8,1,9,10,2,2.342341793,1.116290667,1.41090659,2,58,51.53,7,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.036822932,433,1
11,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)15-13-9-5-6-10-14(13)21-16(15)17(23)22-11-7-8-12-22/h5-6,9-10,15-16,21H,7-8,11-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.004058,-0.000243,-0.050348,0.04629,-0.140495,-0.275641,0.135146,-0.18206,0.20584,-0.003914,-0.108402,0.104488,-0.384429,-0.497746,0.113317,10,100,7,8,1,9,10,2,3.602898,2.16,1.41090659,2,47,51.53,6,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.565722104,433,0
12,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)16-15-12(10-14(22-16)17(23)24-5)11-8-6-7-9-13(11)21-15/h6-9,14,16,21-22H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.06617,0.155211,-0.007554,0.027888,0.444196,0.579872,-0.087531,-0.19596,0.17542,0.149006,-0.032795,0.077051,0.000202,-0.294812,0.145276,6,60,8,9,1,9,10,2,3.760152671,2.16,1.410953411,4,46,45.51,6,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.515951608,493,0
13,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)13-8-6-7-11-12-9-14(17(23)24-5)21-10-15(12)22-16(11)13/h6-8,14,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.024703,-0.016045,-0.067812,0.043109,-0.143648,-0.276484,0.132836,-0.23779,0.20578,-0.031131,-0.131319,0.100188,-0.584945,-0.688363,0.103418,6,60,8,9,1,9,10,2,2.722359357,1.116290667,1.410953411,4,45,45.51,5,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,7.975215052,493,1
14,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)11-6-7-12-13-9-15(17(23)24-5)21-10-16(13)22-14(12)8-11/h6-8,15,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.018263,-0.017704,-0.060555,0.042292,0.013871,-0.071949,0.085821,-0.21234,0.20361,-0.012233,-0.114946,0.102713,-0.074616,-0.194549,0.119934,6,60,8,9,1,9,10,2,2.571973158,1.359456,1.410953411,4,57,45.51,7,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.424137754,493,0
15,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)11-6-7-14-12(8-11)13-9-15(17(23)24-5)21-10-16(13)22-14/h6-8,15,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.024515,-0.024137,-0.06551,0.040995,-0.053256,-0.147208,0.093952,-0.2271,0.20347,-0.02082,-0.121925,0.101106,-0.233528,-0.35231,0.118782,6,60,8,9,1,9,10,2,2.380868345,1.359456,1.410953411,4,74,45.51,9,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.317348634,493,0
16,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)12-7-6-8-13-16(12)11-9-14(17(23)24-5)21-10-15(11)22-13/h6-8,14,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.01038,-0.006197,-0.054655,0.044274,-0.050384,-0.170437,0.120053,-0.1909,0.20568,-0.014048,-0.116608,0.10256,-0.337709,-0.452435,0.114726,6,60,8,9,1,9,10,2,2.523234622,1.359456,1.410953411,4,63,45.51,8,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.385117983,493,0
17,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)15-14-11-8-6-7-9-12(11)22-13(14)10-21-16(15)17(23)24-5/h6-9,15-16,21-22H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.018102,0.043493,-0.059487,0.03837,0.174097,0.242864,-0.026943,-0.38939,0.21382,0.058882,-0.144188,0.100495,-0.67804,-1.022778,0.179443,6,60,8,9,1,9,10,2,2.426349481,1.116290667,1.410953411,4,51,45.51,5,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.301399201,493,0
18,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)11-24-17(23)15-9-13-12-7-5-6-8-14(12)22-16(13)10-21-15/h5-8,15,21-22H,9-11H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.147879,0.209365,-0.006795,0.053887,0.246669,0.07935,0.067778,-0.21604,0.18825,0.279975,-0.082549,0.121105,0.313873,-0.164919,0.154792,6,60,8,9,1,9,10,2,2.398546484,1.359456,1.410953411,4,68,45.51,8,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.29114015,493,0
19,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)16-15-12(10-14(22-16)17(23)24-5)11-8-6-7-9-13(11)21-15/h6-9,14,16,21-22H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.06617,0.155211,-0.007554,0.027888,0.444196,0.579872,-0.087531,-0.19596,0.17542,0.149006,-0.032795,0.077051,0.000202,-0.294812,0.145276,6,60,8,9,1,9,10,2,3.760152671,2.16,1.410953411,4,46,45.51,6,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.515951608,493,0
20,"InChI=1S/C20H20N2O4/c1-25-19(23)18(11-15-12-21-17-10-6-5-9-16(15)17)22-20(24)26-13-14-7-3-2-4-8-14/h2-10,12,18,21H,11,13H2,1H3,(H,22,24)/t18-/m0/s1",,"InChI=1S/C26H31BN2O6/c1-25(2)26(3,4)35-27(34-25)19-12-9-13-20-22(19)18(15-28-20)14-21(23(30)32-5)29-24(31)33-16-17-10-7-6-8-11-17/h6-13,15,21,28H,14,16H2,1-5H3,(H,29,31)/t21-/m0/s1",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.011481,-0.006161,-0.054185,0.042704,-0.021106,-0.143334,0.122229,-0.20485,0.20502,-0.015556,-0.119274,0.103718,-0.946836,-1.061177,0.114341,1,60,11,12,0,15,16,3,2.515467909,1.359456,1.470548785,11,161,65.31,13,93.09153069,4,7,1,2,2,7763,6,91.03183891,7.11057015,8.701990181,38.5319438,80,97.4425,15,8,8.382389666,1838,0
21,"InChI=1S/C20H20N2O4/c1-25-19(23)18(11-15-12-21-17-10-6-5-9-16(15)17)22-20(24)26-13-14-7-3-2-4-8-14/h2-10,12,18,21H,11,13H2,1H3,(H,22,24)/t18-/m0/s1",,"InChI=1S/C26H31BN2O6/c1-25(2)26(3,4)35-27(34-25)19-11-12-21-20(14-19)18(15-28-21)13-22(23(30)32-5)29-24(31)33-16-17-9-7-6-8-10-17/h6-12,14-15,22,28H,13,16H2,1-5H3,(H,29,31)/t22-/m0/s1",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.02395,-0.023607,-0.065035,0.041085,-0.058107,-0.14261,0.084502,-0.20984,0.20221,-0.022674,-0.123465,0.100792,-0.170401,-0.288861,0.11846,1,60,11,12,0,15,16,3,2.379176753,1.359456,1.470548785,11,181,65.31,14,93.09153069,4,7,1,2,2,7763,6,91.03183891,7.11057015,8.701990181,38.5319438,80,97.4425,15,8,8.317050552,1838,0
22,"InChI=1S/C20H20N2O4/c1-25-19(23)18(11-15-12-21-17-10-6-5-9-16(15)17)22-20(24)26-13-14-7-3-2-4-8-14/h2-10,12,18,21H,11,13H2,1H3,(H,22,24)/t18-/m0/s1",,"InChI=1S/C26H31BN2O6/c1-25(2)26(3,4)35-27(34-25)19-11-12-20-18(15-28-21(20)14-19)13-22(23(30)32-5)29-24(31)33-16-17-9-7-6-8-10-17/h6-12,14-15,22,28H,13,16H2,1-5H3,(H,29,31)/t22-/m0/s1",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.015001,-0.014445,-0.058484,0.043482,0.026425,-0.06012,0.086545,-0.21871,0.20459,-0.009346,-0.113531,0.104185,-0.185252,-0.306884,0.121632,1,60,11,12,0,15,16,3,2.484916572,1.359456,1.470548785,11,163,65.31,12,93.09153069,4,7,1,2,2,7763,6,91.03183891,7.11057015,8.701990181,38.5319438,80,97.4425,15,8,8.330877185,1838,0
23,"InChI=1S/C20H20N2O4/c1-25-19(23)18(11-15-12-21-17-10-6-5-9-16(15)17)22-20(24)26-13-14-7-3-2-4-8-14/h2-10,12,18,21H,11,13H2,1H3,(H,22,24)/t18-/m0/s1",,"InChI=1S/C26H31BN2O6/c1-25(2)26(3,4)35-27(34-25)20-13-9-12-19-18(15-28-22(19)20)14-21(23(30)32-5)29-24(31)33-16-17-10-7-6-8-11-17/h6-13,15,21,28H,14,16H2,1-5H3,(H,29,31)/t21-/m0/s1",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.019785,-0.011116,-0.064678,0.044894,-0.154234,-0.284109,0.129874,-0.23317,0.20734,-0.026334,-0.129003,0.102668,-0.216256,-0.32386,0.107604,1,60,11,12,0,15,16,3,2.764619882,1.116290667,1.470548785,11,103,65.31,9,93.09153069,4,7,1,2,2,7763,6,91.03183891,7.11057015,8.701990181,38.5319438,80,97.4425,15,8,8.039293424,1838,1
24,"InChI=1S/C20H20N2O4/c1-25-19(23)18(11-15-12-21-17-10-6-5-9-16(15)17)22-20(24)26-13-14-7-3-2-4-8-14/h2-10,12,18,21H,11,13H2,1H3,(H,22,24)/t18-/m0/s1",,"InChI=1S/C26H31BN2O6/c1-25(2)26(3,4)35-27(34-25)22(17-11-7-6-8-12-17)33-24(31)29-21(23(30)32-5)15-18-16-28-20-14-10-9-13-19(18)20/h6-14,16,21-22,28H,15H2,1-5H3,(H,29,31)/t21-,22?/m0/s1",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.115978,0.173306,0.023948,0.045556,0.085265,-0.074342,0.07875,-0.04158,0.1952,0.258668,0.021446,0.117006,-0.220796,-0.569205,0.167651,1,60,11,12,0,15,16,3,3.456827683,1.359456,1.470548785,11,143,65.31,11,93.09153069,4,7,1,2,2,7763,6,91.03183891,7.11057015,8.701990181,38.5319438,80,97.4425,15,8,8.388492789,1838,0
